scheme name,ministries/departments,target beneficiaries,eligibility criteria,description & benefits,application process,tags
Scheme of Assistance for the Prevention of Alcoholism & Substance (Drugs) Abuse and for Social Defence Services: General Grant-in-Aid Programme for Financial Assistance in the Field of Social Defence,Ministry Of Social Justice and Empowerment,"Addicts, people affected by alcoholism and substance abuse","Organizations with at least two years of experience in the related area or demonstrating competence to undertake the proposed scheme, registered societies, charitable non-profit-making companies, public trusts, non-official organizations involved in social welfare, and certain statutory bodies","Creating awareness about the ill effects of alcoholism and substance abuse, providing community-based services for indemnification, motivation, counselling, de-addiction, aftercare, and rehabilitation for whole-person recovery (WPR) of addicts","Online application submission, inspection and processing, grant disbursement in two installments, and execution of a continuity bond","Alcoholism, Substance Abuse, Social Defence, Rehabilitation, Financial Assistance, Grant-in-Aid"
Jeevanam Self-Employment Scheme To Dependents Of Crime Victims,"Department of Social Justice, Government of Kerala","Dependents of crime victims, victims of crime with serious injuries","The applicant should be a native and resident of Kerala State, the applicant must be either the person who has been seriously injured in a crime or must be a dependent - Wife/Husband/Unmarried son or daughter of the victim of the crime, the annual income of the family should not exceed ₹1,00,000/-, the applicant should have applied within 5 years of the crime","The scheme provides financial aid to dependents as well as victims of crime, financial assistance of ₹20,000/- will be provided as one-time assistance to the eligible beneficiary","Online application through SUNEETHI- Online Service Application Portal, registration and login required, fill in the application form and submit","Crime Victims, Self-Employment, Financial Assistance, Kerala"
Nari Niketans,"Department of Social Welfare, Government of Jammu and Kashmir",Deserted/destitute ladies/widows having no means of livelihood,1. The applicant should be a citizen of India. 2. The applicant should be a domicile / permanent resident of the state of Jammu & Kashmir. 3. The applicant should be a Female. 4. The applicant should be deserted /destitute / widow. 5. The applicant should not have any means of livelihood.,"The scheme provides care and protection in the institutions. Besides food, shelter, bedding & clothing are also provided. For school-going destitute girls free education is provided in addition to other facilities.","Offline application process: 1. Visit the District Social Welfare Office, and request a hard copy of the format of the application form for the scheme from the concerned authority. 2. Fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. 3. Submit the duly filled and signed application form along with the documents to the District Social Welfare Officer. 4. Acquire the receipt/acknowledgment of the successful submission of the application form from the District Social Welfare Office.","Rehabilitation, Shelter, Social Welfare, Widow, Destitute"
Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana,Labor Department of Chhattisgarh State,Unorganized workers,1. The applicant must be registered with the State Board for at least 90 days. 2. The applicant must be between the ages of 18 and 60. 3. The applicant must be registered as a beneficiary of unorganized workers under Section 10 of the Act.,"Financial assistance will be provided for the medical treatment of serious illness like treatment of kidney, cancer, sickle cell anemia, heart disease, AIDS and paralysis. Unorganized workers can receive up to ₹ 50,000 in medical assistance.",Online application through the official website of Chhattisgarh Labour Department. Unregistered applicants need to register first and then apply for the scheme. Already registered applicants can directly apply for the scheme.,"Financial Assistance, Medical Treatment, Serious Illness, Unorganized Workers"
Reimbursement of Stamp Duty and Registration Charges,"Micro Small and Medium Enterprises Department, Government of Tamil Nadu",Manufacturing enterprises (micro or small scale) set up in the declared backward blocks of the state of Tamil Nadu,"The applicant should be a manufacturing enterprise (micro or small scale), set up in the declared backward blocks of the state of Tamil Nadu. The incentive is admissible to eligible enterprises on the land area up to five times the plinth area of the factory building constructed.",The scheme aims to reduce the stamp duty and registration charges incurred by MSEs investing in backward blocks in Tamil Nadu. Eligible enterprises receive a 50% reimbursement of stamp duty and registration charges incurred on land purchases intended for industrial use.,"Online application process involving registration, login, form filling, uploading documents, and submission. The applicant enterprises should apply for this incentive within 6 months from the date of commencement of commercial production.","MSME, Reimbursement, Stamp Duty, Registration Charges, Tamil Nadu, Business, Enterprise"
Support for Value Addition - Support to R&G units,Ministry Of Commerce And Industry,"Individual units, Partnership firms, self-help groups (SHG)/ Growers’ collectives interested in establishing coffee roasting units","The applicants should be individual units, Partnership firms, self-help groups (SHG)/ Growers’ collectives interested in establishing coffee roasting units. The Scheme is applicable only for the establishment of new R&G units. The applicant’s unit must hold a valid business license from the respective statutory authorities.","This scheme aims to enhance the quality of coffee products and achieve value addition through the introduction of improved technologies in roasting, grinding, and packaging which will result in boosting domestic coffee consumption and entrepreneurship in the coffee sector, especially in the non-traditional areas. Benefits include subsidy support of 40% of the machinery cost with a ceiling of ₹10,00,000 for roasting units, and 50% subsidy support for SHGs, women entrepreneurs, SC/ ST, Minorities, and differently-abled beneficiaries.","Offline application process involving submission of application form with mandatory documents at the Coffee Board office. Post-application processes include scrutiny, feasibility assessment, procurement, installation, and commissioning of R&G machinery, and submission of support claim application.","Agriculture, Direct Benefit Transfer, Farmer, Financial Assistance, Subsidy"
MANAGE Internship Programme,Ministry Of Agriculture and Farmers Welfare,"Students from the disciplines of Extension Education, Economics, Sociology, Psychology, MSW, Journalism, Communication, and Environmental Science","Completed/ongoing PhD or M.Sc in Extension Education/ Economics/ Sociology/ Psychology/ MSW/ Journalism/ Communication/ Environmental Science, OGPA of a minimum of 8 out of 10 (minimum 80%), fluency in English, good writing skills","Capacity development in research and extension, stipend of ₹10,000 per month for a 3-month internship or ₹35,000 per month for a 6-month internship","Email CV, motivation letter, and recommendation letter from the Head of the Department/Chairman of the advisory committee to saravananraj.manage@gmail.com","Agriculture, Environment, Internship, Management, Student"
Laadli Laxmi Scheme,"Department of Women & Child Development, Government of Goa",Girl child,"The applicant should be a Girl, born in the State of Goa OR should be a resident of Goa for the last fifteen years, parental income of the applicant does not exceed ₹ 3,00,000 per annum, and the applicant should qualify for ANY ONE of the following three criteria: a) At least one of the parents of the applicant is born in Goa and is also a resident of Goa for the last fifteen years, b) One of the parents of the applicant is residing in Goa for the last twenty-five years, c) In case the applicant is an affected person of Tillari Irrigation Project (a joint venture of the Government of Goa and the government of Maharashtra) and was rehabilitated in the State of Goa","Financial Assistance of ₹ 1,00,000, by means of a bank fixed deposit, jointly in the name of the Director (DoWCD) and the applicant, to financially empower the girl child to meet educational and other expenses on becoming a major of age and to improve the female sex ratio in the State","Offline, application form can be obtained from designated Offices notified by the Director of Women and Child Development or designated bank branches, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach copies of all the mandatory documents (self-attest if required), and send the application to: Director, Directorate of Women And Child Development, Panaji-Goa, 2nd floor, Old Education Building, 18th June Road, Altinho, Panaji, Goa - 403 001","Financial Assistance, Girl Child, Marriage, Social Welfare"
Distress Relief Fund For The Differently Abled (Medical Treatment),"Department of Social Justice, Government of Kerala",Differently Abled persons,"1. The applicant should be a native and resident of Kerala State. 2. The disabled person or who has become handicapped due to an accident is eligible to apply under the scheme for their medical treatment, including surgery. 3. Those differently-abled persons whose annual income does not exceed (₹20,000/- in Rural areas and ₹22,375/- in Urban areas) shall be eligible for financial assistance. 4. Physically handicapped persons shall include the following disabilities/categories: a. Blind b. Deaf and Dumb c. Orthopedically Handicapped d. Mentally Challenged e. Persons in the Below Poverty Line (BPL) category having 40 % disability or more.","The scheme provides financial assistance of ₹5,000/- per person in a year for medical treatment, including surgery, to differently abled persons.",Online application through SUNEETHI- Online Service Application Portal,"BPL, Differently Abled, Distress, Financial Assistance, Handicap, Medical Treatment, PwD"
Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities,Ministry Of Minority Affairs,"Students belonging to SC (Scheduled Caste), ST (Scheduled Tribe), OBC (Other Backward Classes) (non-creamy layer), and minority communities","Financial assistance under the scheme is available to such universities and colleges which come within the purview of Section 2(f) and are fit to receive central assistance under Section 12(B) of the UGC Act, 1956. Institutions having a sufficient number of Scheduled Castes, Scheduled Tribes, and Minority Communities students will be considered for financial assistance. General candidates holding BPL Cards (Below Poverty Line) issued by the Central Government /State Government may also be allowed for such coaching classes.","Coaching schemes for students belonging to SC (Scheduled Caste), ST (Scheduled Tribe), OBC (Other Backward Classes) (non-creamy layer), and minority communities are implemented to provide them with equal opportunities and support in pursuing higher education. These schemes aim to bridge the educational gap and enhance the competitiveness of these students.","Offline. The applicant needs to contact the Registrar/Principal, fill out the application form, and submit it to the concerned department.","Coaching, Education, Minority, SC, ST, OBC, University"
Atma Nirbhar Bagwani Yojana,Government of Arunachal Pradesh,Farmers of Arunachal Pradesh,Residents and farmers of Arunachal Pradesh,"Umbrella scheme providing 45% subsidy, 45% bank finance, and 10% beneficiaries contribution for the cultivation of fruits like apples, walnut, orange, kiwi, and persimmon.",Offline,"Subsidy, Umbrella Scheme, Farmers, Arunachal Pradesh, Horticulture"
Mukhyamantri Nischay Swayam Sahayata Bhatta Yojna,Government of Bihar,Educated unemployed citizens of Bihar State,"1. Age group of 20 to 25 years, 2. Unemployed young men/women who are not studying and are looking for employment, 3. Educational qualification is inter (12th) passed from a government-recognized institution located in the state but have not received higher education, 4. Permanent resident of the district of Bihar state, 5. Not received any kind of allowance/scholarship/student credit card/education loan or any kind of assistance from any other source, 6. Not get any type of government or non-government employment (contract/permanent/ temporary), 7. Not self-employed","Financial assistance to educated unemployed citizens to help them overcome financial difficulties, The amount of self-help allowance will be paid to the eligible applicant at the rate of Rs.1000 per month for a maximum period of two years","Online application through official website, Registration, Authentication through OTP, Filling of application form, Submission","Financial Assistance, Skilled Youth Program, Social Welfare, Unemployment"
Natural Calamity Relief to Fishermen of State,"Department of Fisheries, Government of Goa",Active fishermen who contribute to the Fishermen Corpus Relief Fund,"The applicant should be a Fisherman, should have been contributing to the Fishermen Corpus Relief Fund, should have a registered non-motorized/motorized canoe and mechanized fishing vessel/trawler with the Department of Fisheries, should not be a defaulter of the department, and the loss or damage should be verified by the competent authority.","Financial assistance is provided to active fishermen whose fishing vessels are damaged or lost due to natural calamities. The benefits include financial assistance for death/disability, loss/damage to fishing canoe, loss/damage to fishing vessel, and loss/damage to fishing nets.","Offline application process. The applicant needs to take a print of the prescribed format of the application form, fill in all the mandatory fields, paste the passport-sized photograph, and attach copies of all the mandatory documents. The application form should be submitted to the concerned authority at the Department of Fisheries or to the official posted at the BDO Office/Sub-Offices of the Department of Fisheries.","Crisis, Disaster, Financial Assistance, Fishermen, Relief"
Industry Linked Biotechnology Research Scheme (IBRS),"Kerala Biotechnology Commission (KBC) under the Kerala State Council for Science, Technology and Environment (KSCSTE)",Scientists and Technologists of R&D Centers/academic Institutions/Organizations actively involved in biotechnological research,"Applicants should be Scientists and Technologists of R&D Centers/Academic Institutions/Organizations actively involved in biotechnological research with emphasis on areas relating to marine, agriculture, health, and environment. Proposals need to be submitted in active collaboration with an industry in which the industrial partner is willing to share 25% of the Kerala Biotechnology Commission allocated funds additionally.",The scheme provides financial assistance in the form of grants to facilitate Academia-Industry interaction by undertaking projects in collaboration with an industrial partner which should result in commercializing the product or process or service. The grant amount is ₹40 lakhs excluding overhead cost and industry share (25%) for a period of three years.,"Applications are invited through advertisement and the project proposal should be submitted online. The application process involves endorsement from the Head of Institution, evaluation by referees, and final decision by the expert committee.","Biotechnology, Grant, Industry, Research, Scientist, Technologist"
Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen,"Department of Fisheries, Government of Goa","Traditional fishermen by birth or profession, residents of Goa","The applicant should be a traditional fisherman by birth or profession, a resident of Goa, and possess one of the following: a Canoe Fitted With OBM; Mechanised Trawlers Engaged in Trawling or Purse Seining Operations.","Financial assistance amounting to ₹50% is provided by the Government to eligible fishermen for the Purchase of Lifejackets and Lifebuoys. The support is extended up to ₹1,000/- per lifejacket and ₹1,500/- per lifebuoy.","Offline application process. The interested applicant should take print of the prescribed format of the application form, fill in all the mandatory fields, paste the passport-sized photograph, and attach copies of all the mandatory documents. Submit the duly filled and signed application form along with the documents to the concerned authority at the Department of Fisheries or its designated offices.","Fishermen, Lifejackets, Lifebuoys, Financial Assistance, Goa"
Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification,Ministry of Commerce and Industry,"SHGs/collectives of tribal growers, small growers",The applicants should be SHGs/collectives of tribal growers who obtain certification of their plantations for various sustainability and quality standards.,This scheme aims to encourage coffee growers to improve quality for higher returns and improve access to high-value specialty markets through the production of eco-certified coffees.,"Offline application process involving certification completion, documentation, submission to Coffee Board Office, review, and verification.","Agriculture, DBT, Farmer, Subsidy"
NSAP - Indira Gandhi National Old Age Pension Scheme,Ministry Of Rural Development,Citizens living Below Poverty Line and 60 years or above in age,"The applicant should be a citizen of India, living Below Poverty Line, and at least 60 years of age.",A monthly pension of ₹ 200 up to 79 years and ₹ 500 thereafter. The scheme provides social assistance benefits to poor households in the case of old age of the breadwinner.,"Online application through UMANG App or website. Fill basic details, choose the mode of payment of pension, upload photo and click on “Submit”.","BPL, Pension, Senior Citizen, Social Welfare"
Shram Kalyan Shaikshanik Chatravriti Yojana,Madhya Pradesh State Government,Children of labourers,"1. The applicant must be a permanent resident of Madhya Pradesh. 2. The parents of the applicant should be employed in a factory or institution established in Madhya Pradesh under the Labor Welfare Fund Act, 1982. 3. Only 2 children of a family are eligible to get the benefits of this scheme. 4. Children of officers and employees working in institutions with managerial capacity are not eligible to get the benefit of this scheme.","The main objective of the Madhya Pradesh Shram Kalyan Academic Scholarship Scheme is to provide scholarships to the children of labourers to get an education. Through this scheme, scholarships will be provided from the 5th class to a higher level of education.",1. Applicants have to visit the official scholarship portal of the Student Labor Welfare Board. 2. Fill out the entries of the academic scholarship application form online. 3. The applicant will have to authenticate his identity by giving his own and his mother's / father's Aadhaar numbers. 4. Online applications for academic scholarships will have to be made within the time limit. Applications received after the prescribed period will not be considered by the Board and no action will be taken. 5. Upload the required documents. 6. Submit.,"Financial Assistance, Higher Education, Student Finance"
Jai Johar (Old Age Pension) Scheme,"Tribal Development Department, Government of West Bengal",Scheduled Tribe (ST) residents of West Bengal of the age of 60 years and above,"1. Permanent resident of West Bengal, 2. Belong to Scheduled Tribe (ST) category, 3. Attained the age of 60 years or more, 4. Not a beneficiary under any other Social Security pension scheme, 5. Not a recipient of Government pension or pension from any other organization","A monthly pension of ₹1,000/- is transferred directly to the individual bank account of the beneficiary",Offline application through Block Development Officer (BDO) / Sub Divisional Officer (SDO) / Kolkata Municipal Corporation,"Financial Assistance, Pension, Scheduled Tribe, Senior Citizen, Social Welfare"
Innovation In Science Pursuit For Inspired Research (INSPIRE) - Faculty Fellowship,Ministry Of Science And Technology,Young researchers with Ph.D. qualifications in the age group of 27-32 years,"Indian citizens and People of Indian origin with PIO status having Ph.D. degrees in science, mathematics, engineering, pharmacy, medicine, and agriculture-related subjects; minimum 60% marks throughout academic profile; upper age limit of 32 years for General Category, 37 years for SC, ST, and Women candidates, and 42 years for persons with benchmark disabilities","Provides opportunities to 100 persons every year to carry out research in basic and applied science areas for 5 years; grants an attractive fellowship for a duration of 5 years; objective is to encourage young researchers to continue research in areas of S&T, Medicine, Agriculture, Pharmacy, and Veterinary Sciences","Online application through the INSPIRE program portal; three-tier selection process involving evaluation by discipline-based Expert Committees, recommendations of the Apex Level Committee and INSPIRE Faculty Award Council, and final selection by DST","Faculty Fellowship, Research, Science, Technology, Medicine, Agriculture, Pharmacy, Veterinary Sciences"
Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets,"Department of Fisheries and Fishermen Welfare, Government of Puducherry","Fishermen community, Fish traders, Prospective entrepreneurs","Belong to fishermen community or professionally engaged in fishing/fish trade occupation, Resided in Puducherry for at least 5 years, Member of Fishermen Co-operative Society, Age between 23 and 60 years, Not a recipient of Old Age Pension, Not employed in Government/Government Undertakings/Fishermen Co-operative Society, No outstanding dues to Department/Fishermen Co-operative Societies",Subsidy for the procurement of fiber-reinforced plastic vallam with nets to increase marine fish production,"Offline, Submit application form with required documents to the concerned authority","Fisheries, Subsidy, Marine Fisheries, Puducherry"
Goa Village & Municipal Child Committee Grants And Awards Scheme (GVMCCGS),Directorate of Women And Child Development,Village and Municipal Child Committees,"The applicant should be the concerned local body i.e. a Panchayat or a Municipal local body. The applicant should have established a Village or Municipal Child Committee as prescribed under Rule 7 of The Goa Children's Homes Rules, 2004. The Committee should have met at least once in the last three months prior to submission of the application. The Committee should have met to discuss and resolve the issues relating to children within the jurisdiction of the local body. The concerned local body should have provided the space for facilitating sittings of the Committee in its premises as and when required.","The scheme provides an annual financial grant of ₹ 10,000/- towards administrative expenses incurred on organizing the activities of the Committee.","The application as per the prescribed format, along with the supporting documents showing the activities of the Child Committee of the Local Body, shall be addressed/submitted directly to: The Director, Directorate of Women And Child Development, Panaji-Goa, 2nd floor, Old Education Building, 18th June Road, Altinho, Panaji, Goa - 403 001.","Child Rights, Municipal, Panchayat, Village, Award, Grant"
Junior Research Fellowship,Ministry Of Science And Technology,Indian nationals pursuing doctoral research in biotechnology and life sciences,1. Applicant must be an Indian citizen. 2. Applicant must have a master's degree in biotechnology or a related field from a recognized university. 3. Applicant must clear the GAT or NET exam in biotechnology or a related field. 4. Applicant should not be more than 28 years for general and EWS category candidates and 33 years for SC/ST/PH category candidates.,"The Junior Research Fellowship (JRF) from the Department of Biotechnology (DBT) is a fellowship program that provides financial support to students who are pursuing doctoral research in biotechnology and life sciences. The fellowship amount for the JRF program is ₹31,000 per month for the first two years and ₹35,000 per month for the remaining three years.","The application process involves four steps: 1. Qualify in the Biotechnology Eligibility Test (BET), 2. Apply for the DBT-JRF program online, 3. Appear for the interview, and 4. Check the final selection list.","Biotechnology, Life Sciences, Research, Fellowship, Financial Assistance"
Indira Gandhi National Old Age Pension Scheme - Sikkim,"Department of Women & Child Welfare, Govt. of Sikkim",Elderly citizens above the age of 60 years belonging to the Below Poverty Line (BPL) category,"The applicant should be a resident of the state of Sikkim, from Below Poverty Line (BPL) family, attained the age of 60 years and above, have no source of income, not be a recipient of salary/pension/family pension from Central Government / other State Governments, and have opened a Bank Account under “Pradhan Mantri Jan Dhan Yojana”.","A pension is provided to elderly citizens above the age of 60 years belonging to the Below Poverty Line (BPL) category and the beneficiary will receive a monthly pension of ₹ 1500/-, ₹ 2000/- & ₹ 2500/- as per eligibility criteria.","Offline and Online application process. The applicant has to approach their concerned Gram Panchayat /Municipality / Municipal Corporation office, fill in the application form, attach mandatory documents and submit it to the designated receiving authority.","Old Age, Pension, Below Poverty Line, Direct Benefit Transfer"
ASEAN-India Research Training Fellowship (AI-RTF),Ministry Of Science And Technology,Young talented researchers/scientists of ASEAN member countries,"Applicant must be holding the nationality of any of the ASEAN Member Countries, possess at least a Master’s Degree in any Natural Sciences or an equivalent degree in Technology/Engineering/Medicine / allied disciplines, be working/studying and/or affiliated with any national R&D or academic institution in his/her home ASEAN Member Country, and be below 45 years of age as of the date of submission of the application.","The scheme is launched as an initiative under the ASEAN-India Science & Technology Development Fund (AISTDF) to support young talented researchers/scientists of ASEAN member countries to carry out research at any of the Indian research/academic Institution. The fellowship provides full financial assistance, including round trip international airfare, visa fees, overseas medical insurance, consolidated Fellowship amount of Indian Rupees (INR) 60,000/- per month, one-time grant of INR 40,000/- as research contingency expenses, and institutional overhead charges.",The applications are to be submitted only ONLINE at [www.aistic.gov.in](http://www.aistic.gov.in). The hard copies of the application are not required.,"ASEAN, Fellowship, Research, Science, Technology, Innovation"
Promotion of Energy Audit and Conservation of Energy (PEACE): Incentive for Implementing Energy Audit Recommendations,"Micro Small and Medium Enterprises Department, Government of Tamil Nadu",Manufacturing MSMEs in the state of Tamil Nadu,MSMEs that have undertaken energy audits and achieved at least 10% energy savings in terms of the number of units of energy consumed per unit of product manufactured with reference to the last 12 months average.,"The scheme provides an incentive of 50% of the cost of eligible components, subject to a maximum limit of ₹ 10,00,000/-, to MSMEs that implement the recommendations of the Energy Audit Report and optimize energy consumption leading to energy saving and money savings in electricity bills.","Online application through the official website/portal of the Micro, Small, and Medium Enterprises Department of the Government of Tamil Nadu, involving registration, login, form filling, document upload, and submission.","Energy Audit, Energy Conservation, MSME, Tamil Nadu, Incentive, Subsidy"
Scholarships to Students with Disabilities Scheme,"Department of Social Security and Women & Child Development, Government of Punjab",Students with disabilities,"1. Students of Punjab having 40% and above disability certificate. 2. Monthly income of family/guardians should not exceed ₹5,000/- per month. 3. Candidate should have secured at least 40% marks in the previous annual examination.","The scheme assists students with disabilities to secure education, academic, technical, or professional training to enable them to earn a living and become useful members of society. The scheme provides a scholarship of ₹200/- per month per student with a disability for education from class 1st to 8th and ₹300/- per month per student with a disability for education/training from 9th class onwards.",Offline application is submitted to the Head of school/college/ institution who after verifying it shall forward it to the District Social Security Officer (DSSO) of the concerned district.,"Disability, PwD, Scholarship, Student, Education, Training"
