Application Process,Eligibility Criteria,Scheme Name,URL,Target Beneficiaries,Ministries/Departments,Tags,Description & Benefits
"Online application submission, inspection and processing, grant disbursement in two installments, and execution of a continuity bond","Organizations with at least two years of experience in the related area or demonstrating competence to undertake the proposed scheme, registered societies, charitable non-profit-making companies, public trusts, non-official organizations involved in social welfare, and certain statutory bodies",Scheme of Assistance for the Prevention of Alcoholism & Substance (Drugs) Abuse and for Social Defence Services: General Grant-in-Aid Programme for Financial Assistance in the Field of Social Defence,https://www.myscheme.gov.in/schemes/sapaandsdasdsggiapfafsd,"Addicts, people affected by alcoholism and substance abuse",Ministry Of Social Justice and Empowerment,"Alcoholism, Substance Abuse, Social Defence, Rehabilitation, Financial Assistance, Grant-in-Aid","Creating awareness about the ill effects of alcoholism and substance abuse, providing community-based services for indemnification, motivation, counselling, de-addiction, aftercare, and rehabilitation for whole-person recovery (WPR) of addicts"
"Online application through SUNEETHI- Online Service Application Portal, registration and login required, fill in the application form and submit","The applicant should be a native and resident of Kerala State, the applicant must be either the person who has been seriously injured in a crime or must be a dependent - Wife/Husband/Unmarried son or daughter of the victim of the crime, the annual income of the family should not exceed ?1,00,000/-, the applicant should have applied within 5 years of the crime",Jeevanam Self-Employment Scheme To Dependents Of Crime Victims,https://www.myscheme.gov.in/schemes/js-esdcv,"Dependents of crime victims, victims of crime with serious injuries","Department of Social Justice, Government of Kerala","Crime Victims, Self-Employment, Financial Assistance, Kerala","The scheme provides financial aid to dependents as well as victims of crime, financial assistance of ?20,000/- will be provided as one-time assistance to the eligible beneficiary"
"Offline application process: 1. Visit the District Social Welfare Office, and request a hard copy of the format of the application form for the scheme from the concerned authority. 2. Fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. 3. Submit the duly filled and signed application form along with the documents to the District Social Welfare Officer. 4. Acquire the receipt/acknowledgment of the successful submission of the application form from the District Social Welfare Office.",1. The applicant should be a citizen of India. 2. The applicant should be a domicile / permanent resident of the state of Jammu & Kashmir. 3. The applicant should be a Female. 4. The applicant should be deserted /destitute / widow. 5. The applicant should not have any means of livelihood.,Nari Niketans,https://www.myscheme.gov.in/schemes/nn,Deserted/destitute ladies/widows having no means of livelihood,"Department of Social Welfare, Government of Jammu and Kashmir","Rehabilitation, Shelter, Social Welfare, Widow, Destitute","The scheme provides care and protection in the institutions. Besides food, shelter, bedding & clothing are also provided. For school-going destitute girls free education is provided in addition to other facilities."
Online application through the official website of Chhattisgarh Labour Department. Unregistered applicants need to register first and then apply for the scheme. Already registered applicants can directly apply for the scheme.,1. The applicant must be registered with the State Board for at least 90 days. 2. The applicant must be between the ages of 18 and 60. 3. The applicant must be registered as a beneficiary of unorganized workers under Section 10 of the Act.,Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana,https://www.myscheme.gov.in/schemes/akgbcsy,Unorganized workers,Labor Department of Chhattisgarh State,"Financial Assistance, Medical Treatment, Serious Illness, Unorganized Workers","Financial assistance will be provided for the medical treatment of serious illness like treatment of kidney, cancer, sickle cell anemia, heart disease, AIDS and paralysis. Unorganized workers can receive up to ? 50,000 in medical assistance."
"Online application process involving registration, login, form filling, uploading documents, and submission. The applicant enterprises should apply for this incentive within 6 months from the date of commencement of commercial production.","The applicant should be a manufacturing enterprise (micro or small scale), set up in the declared backward blocks of the state of Tamil Nadu. The incentive is admissible to eligible enterprises on the land area up to five times the plinth area of the factory building constructed.",Reimbursement of Stamp Duty and Registration Charges,https://www.myscheme.gov.in/schemes/rsdarc,Manufacturing enterprises (micro or small scale) set up in the declared backward blocks of the state of Tamil Nadu,"Micro Small and Medium Enterprises Department, Government of Tamil Nadu","MSME, Reimbursement, Stamp Duty, Registration Charges, Tamil Nadu, Business, Enterprise",The scheme aims to reduce the stamp duty and registration charges incurred by MSEs investing in backward blocks in Tamil Nadu. Eligible enterprises receive a 50% reimbursement of stamp duty and registration charges incurred on land purchases intended for industrial use.
"Offline application process involving submission of application form with mandatory documents at the Coffee Board office. Post-application processes include scrutiny, feasibility assessment, procurement, installation, and commissioning of R&G machinery, and submission of support claim application.","The applicants should be individual units, Partnership firms, self-help groups (SHG)/ Growers’ collectives interested in establishing coffee roasting units. The Scheme is applicable only for the establishment of new R&G units. The applicant’s unit must hold a valid business license from the respective statutory authorities.",Support for Value Addition - Support to R&G units,https://www.myscheme.gov.in/schemes/icdpsva-srgu,"Individual units, Partnership firms, self-help groups (SHG)/ Growers’ collectives interested in establishing coffee roasting units",Ministry Of Commerce And Industry,"Agriculture, Direct Benefit Transfer, Farmer, Financial Assistance, Subsidy","This scheme aims to enhance the quality of coffee products and achieve value addition through the introduction of improved technologies in roasting, grinding, and packaging which will result in boosting domestic coffee consumption and entrepreneurship in the coffee sector, especially in the non-traditional areas. Benefits include subsidy support of 40% of the machinery cost with a ceiling of ?10,00,000 for roasting units, and 50% subsidy support for SHGs, women entrepreneurs, SC/ ST, Minorities, and differently-abled beneficiaries."
"Email CV, motivation letter, and recommendation letter from the Head of the Department/Chairman of the advisory committee to saravananraj.manage@gmail.com","Completed/ongoing PhD or M.Sc in Extension Education/ Economics/ Sociology/ Psychology/ MSW/ Journalism/ Communication/ Environmental Science, OGPA of a minimum of 8 out of 10 (minimum 80%), fluency in English, good writing skills",MANAGE Internship Programme,https://www.myscheme.gov.in/schemes/mip,"Students from the disciplines of Extension Education, Economics, Sociology, Psychology, MSW, Journalism, Communication, and Environmental Science",Ministry Of Agriculture and Farmers Welfare,"Agriculture, Environment, Internship, Management, Student","Capacity development in research and extension, stipend of ?10,000 per month for a 3-month internship or ?35,000 per month for a 6-month internship"
"Offline, application form can be obtained from designated Offices notified by the Director of Women and Child Development or designated bank branches, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach copies of all the mandatory documents (self-attest if required), and send the application to: Director, Directorate of Women And Child Development, Panaji-Goa, 2nd floor, Old Education Building, 18th June Road, Altinho, Panaji, Goa - 403 001","The applicant should be a Girl, born in the State of Goa OR should be a resident of Goa for the last fifteen years, parental income of the applicant does not exceed ? 3,00,000 per annum, and the applicant should qualify for ANY ONE of the following three criteria: a) At least one of the parents of the applicant is born in Goa and is also a resident of Goa for the last fifteen years, b) One of the parents of the applicant is residing in Goa for the last twenty-five years, c) In case the applicant is an affected person of Tillari Irrigation Project (a joint venture of the Government of Goa and the government of Maharashtra) and was rehabilitated in the State of Goa",Laadli Laxmi Scheme,https://www.myscheme.gov.in/schemes/lls-g,Girl child,"Department of Women & Child Development, Government of Goa","Financial Assistance, Girl Child, Marriage, Social Welfare","Financial Assistance of ? 1,00,000, by means of a bank fixed deposit, jointly in the name of the Director (DoWCD) and the applicant, to financially empower the girl child to meet educational and other expenses on becoming a major of age and to improve the female sex ratio in the State"
Online application through SUNEETHI- Online Service Application Portal,"1. The applicant should be a native and resident of Kerala State. 2. The disabled person or who has become handicapped due to an accident is eligible to apply under the scheme for their medical treatment, including surgery. 3. Those differently-abled persons whose annual income does not exceed (?20,000/- in Rural areas and ?22,375/- in Urban areas) shall be eligible for financial assistance. 4. Physically handicapped persons shall include the following disabilities/categories: a. Blind b. Deaf and Dumb c. Orthopedically Handicapped d. Mentally Challenged e. Persons in the Below Poverty Line (BPL) category having 40 % disability or more.",Distress Relief Fund For The Differently Abled (Medical Treatment),https://www.myscheme.gov.in/schemes/drfdamt,Differently Abled persons,"Department of Social Justice, Government of Kerala","BPL, Differently Abled, Distress, Financial Assistance, Handicap, Medical Treatment, PwD","The scheme provides financial assistance of ?5,000/- per person in a year for medical treatment, including surgery, to differently abled persons."
"Offline. The applicant needs to contact the Registrar/Principal, fill out the application form, and submit it to the concerned department.","Financial assistance under the scheme is available to such universities and colleges which come within the purview of Section 2(f) and are fit to receive central assistance under Section 12(B) of the UGC Act, 1956. Institutions having a sufficient number of Scheduled Castes, Scheduled Tribes, and Minority Communities students will be considered for financial assistance. General candidates holding BPL Cards (Below Poverty Line) issued by the Central Government /State Government may also be allowed for such coaching classes.",Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities,https://www.myscheme.gov.in/schemes/csmsu,"Students belonging to SC (Scheduled Caste), ST (Scheduled Tribe), OBC (Other Backward Classes) (non-creamy layer), and minority communities",Ministry Of Minority Affairs,"Coaching, Education, Minority, SC, ST, OBC, University","Coaching schemes for students belonging to SC (Scheduled Caste), ST (Scheduled Tribe), OBC (Other Backward Classes) (non-creamy layer), and minority communities are implemented to provide them with equal opportunities and support in pursuing higher education. These schemes aim to bridge the educational gap and enhance the competitiveness of these students."
Offline,Residents and farmers of Arunachal Pradesh,Atma Nirbhar Bagwani Yojana,https://www.myscheme.gov.in/schemes/anby,Farmers of Arunachal Pradesh,Government of Arunachal Pradesh,"Subsidy, Umbrella Scheme, Farmers, Arunachal Pradesh, Horticulture","Umbrella scheme providing 45% subsidy, 45% bank finance, and 10% beneficiaries contribution for the cultivation of fruits like apples, walnut, orange, kiwi, and persimmon."
"Online application through official website, Registration, Authentication through OTP, Filling of application form, Submission","1. Age group of 20 to 25 years, 2. Unemployed young men/women who are not studying and are looking for employment, 3. Educational qualification is inter (12th) passed from a government-recognized institution located in the state but have not received higher education, 4. Permanent resident of the district of Bihar state, 5. Not received any kind of allowance/scholarship/student credit card/education loan or any kind of assistance from any other source, 6. Not get any type of government or non-government employment (contract/permanent/ temporary), 7. Not self-employed",Mukhyamantri Nischay Swayam Sahayata Bhatta Yojna,https://www.myscheme.gov.in/schemes/mnssby,Educated unemployed citizens of Bihar State,Government of Bihar,"Financial Assistance, Skilled Youth Program, Social Welfare, Unemployment","Financial assistance to educated unemployed citizens to help them overcome financial difficulties, The amount of self-help allowance will be paid to the eligible applicant at the rate of Rs.1000 per month for a maximum period of two years"
"Offline application process. The applicant needs to take a print of the prescribed format of the application form, fill in all the mandatory fields, paste the passport-sized photograph, and attach copies of all the mandatory documents. The application form should be submitted to the concerned authority at the Department of Fisheries or to the official posted at the BDO Office/Sub-Offices of the Department of Fisheries.","The applicant should be a Fisherman, should have been contributing to the Fishermen Corpus Relief Fund, should have a registered non-motorized/motorized canoe and mechanized fishing vessel/trawler with the Department of Fisheries, should not be a defaulter of the department, and the loss or damage should be verified by the competent authority.",Natural Calamity Relief to Fishermen of State,https://www.myscheme.gov.in/schemes/ncrfs,Active fishermen who contribute to the Fishermen Corpus Relief Fund,"Department of Fisheries, Government of Goa","Crisis, Disaster, Financial Assistance, Fishermen, Relief","Financial assistance is provided to active fishermen whose fishing vessels are damaged or lost due to natural calamities. The benefits include financial assistance for death/disability, loss/damage to fishing canoe, loss/damage to fishing vessel, and loss/damage to fishing nets."
"Applications are invited through advertisement and the project proposal should be submitted online. The application process involves endorsement from the Head of Institution, evaluation by referees, and final decision by the expert committee.","Applicants should be Scientists and Technologists of R&D Centers/Academic Institutions/Organizations actively involved in biotechnological research with emphasis on areas relating to marine, agriculture, health, and environment. Proposals need to be submitted in active collaboration with an industry in which the industrial partner is willing to share 25% of the Kerala Biotechnology Commission allocated funds additionally.",Industry Linked Biotechnology Research Scheme (IBRS),https://www.myscheme.gov.in/schemes/ibrs,Scientists and Technologists of R&D Centers/academic Institutions/Organizations actively involved in biotechnological research,"Kerala Biotechnology Commission (KBC) under the Kerala State Council for Science, Technology and Environment (KSCSTE)","Biotechnology, Grant, Industry, Research, Scientist, Technologist",The scheme provides financial assistance in the form of grants to facilitate Academia-Industry interaction by undertaking projects in collaboration with an industrial partner which should result in commercializing the product or process or service. The grant amount is ?40 lakhs excluding overhead cost and industry share (25%) for a period of three years.
"Offline application process. The interested applicant should take print of the prescribed format of the application form, fill in all the mandatory fields, paste the passport-sized photograph, and attach copies of all the mandatory documents. Submit the duly filled and signed application form along with the documents to the concerned authority at the Department of Fisheries or its designated offices.","The applicant should be a traditional fisherman by birth or profession, a resident of Goa, and possess one of the following: a Canoe Fitted With OBM; Mechanised Trawlers Engaged in Trawling or Purse Seining Operations.",Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen,https://www.myscheme.gov.in/schemes/fapllf,"Traditional fishermen by birth or profession, residents of Goa","Department of Fisheries, Government of Goa","Fishermen, Lifejackets, Lifebuoys, Financial Assistance, Goa","Financial assistance amounting to ?50% is provided by the Government to eligible fishermen for the Purchase of Lifejackets and Lifebuoys. The support is extended up to ?1,000/- per lifejacket and ?1,500/- per lifebuoy."
"Offline application process involving certification completion, documentation, submission to Coffee Board Office, review, and verification.",The applicants should be SHGs/collectives of tribal growers who obtain certification of their plantations for various sustainability and quality standards.,Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification,https://www.myscheme.gov.in/schemes/cdpnerqucsecoc,"SHGs/collectives of tribal growers, small growers",Ministry of Commerce and Industry,"Agriculture, DBT, Farmer, Subsidy",This scheme aims to encourage coffee growers to improve quality for higher returns and improve access to high-value specialty markets through the production of eco-certified coffees.
"Online application through UMANG App or website. Fill basic details, choose the mode of payment of pension, upload photo and click on “Submit”.","The applicant should be a citizen of India, living Below Poverty Line, and at least 60 years of age.",NSAP - Indira Gandhi National Old Age Pension Scheme,https://www.myscheme.gov.in/schemes/nsap-ignoaps,Citizens living Below Poverty Line and 60 years or above in age,Ministry Of Rural Development,"BPL, Pension, Senior Citizen, Social Welfare",A monthly pension of ? 200 up to 79 years and ? 500 thereafter. The scheme provides social assistance benefits to poor households in the case of old age of the breadwinner.
1. Applicants have to visit the official scholarship portal of the Student Labor Welfare Board. 2. Fill out the entries of the academic scholarship application form online. 3. The applicant will have to authenticate his identity by giving his own and his mother's / father's Aadhaar numbers. 4. Online applications for academic scholarships will have to be made within the time limit. Applications received after the prescribed period will not be considered by the Board and no action will be taken. 5. Upload the required documents. 6. Submit.,"1. The applicant must be a permanent resident of Madhya Pradesh. 2. The parents of the applicant should be employed in a factory or institution established in Madhya Pradesh under the Labor Welfare Fund Act, 1982. 3. Only 2 children of a family are eligible to get the benefits of this scheme. 4. Children of officers and employees working in institutions with managerial capacity are not eligible to get the benefit of this scheme.",Shram Kalyan Shaikshanik Chatravriti Yojana,https://www.myscheme.gov.in/schemes/skscy,Children of labourers,Madhya Pradesh State Government,"Financial Assistance, Higher Education, Student Finance","The main objective of the Madhya Pradesh Shram Kalyan Academic Scholarship Scheme is to provide scholarships to the children of labourers to get an education. Through this scheme, scholarships will be provided from the 5th class to a higher level of education."
Offline application through Block Development Officer (BDO) / Sub Divisional Officer (SDO) / Kolkata Municipal Corporation,"1. Permanent resident of West Bengal, 2. Belong to Scheduled Tribe (ST) category, 3. Attained the age of 60 years or more, 4. Not a beneficiary under any other Social Security pension scheme, 5. Not a recipient of Government pension or pension from any other organization",Jai Johar (Old Age Pension) Scheme,https://www.myscheme.gov.in/schemes/jjoaps,Scheduled Tribe (ST) residents of West Bengal of the age of 60 years and above,"Tribal Development Department, Government of West Bengal","Financial Assistance, Pension, Scheduled Tribe, Senior Citizen, Social Welfare","A monthly pension of ?1,000/- is transferred directly to the individual bank account of the beneficiary"
"Online application through the INSPIRE program portal; three-tier selection process involving evaluation by discipline-based Expert Committees, recommendations of the Apex Level Committee and INSPIRE Faculty Award Council, and final selection by DST","Indian citizens and People of Indian origin with PIO status having Ph.D. degrees in science, mathematics, engineering, pharmacy, medicine, and agriculture-related subjects; minimum 60% marks throughout academic profile; upper age limit of 32 years for General Category, 37 years for SC, ST, and Women candidates, and 42 years for persons with benchmark disabilities",Innovation In Science Pursuit For Inspired Research (INSPIRE) - Faculty Fellowship,https://www.myscheme.gov.in/schemes/inspire-ff,Young researchers with Ph.D. qualifications in the age group of 27-32 years,Ministry Of Science And Technology,"Faculty Fellowship, Research, Science, Technology, Medicine, Agriculture, Pharmacy, Veterinary Sciences","Provides opportunities to 100 persons every year to carry out research in basic and applied science areas for 5 years; grants an attractive fellowship for a duration of 5 years; objective is to encourage young researchers to continue research in areas of S&T, Medicine, Agriculture, Pharmacy, and Veterinary Sciences"
"Offline, Submit application form with required documents to the concerned authority","Belong to fishermen community or professionally engaged in fishing/fish trade occupation, Resided in Puducherry for at least 5 years, Member of Fishermen Co-operative Society, Age between 23 and 60 years, Not a recipient of Old Age Pension, Not employed in Government/Government Undertakings/Fishermen Co-operative Society, No outstanding dues to Department/Fishermen Co-operative Societies",Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets,https://www.myscheme.gov.in/schemes/spfrpcvwnmpcn-faascdmf,"Fishermen community, Fish traders, Prospective entrepreneurs","Department of Fisheries and Fishermen Welfare, Government of Puducherry","Fisheries, Subsidy, Marine Fisheries, Puducherry",Subsidy for the procurement of fiber-reinforced plastic vallam with nets to increase marine fish production
"The application as per the prescribed format, along with the supporting documents showing the activities of the Child Committee of the Local Body, shall be addressed/submitted directly to: The Director, Directorate of Women And Child Development, Panaji-Goa, 2nd floor, Old Education Building, 18th June Road, Altinho, Panaji, Goa - 403 001.","The applicant should be the concerned local body i.e. a Panchayat or a Municipal local body. The applicant should have established a Village or Municipal Child Committee as prescribed under Rule 7 of The Goa Children's Homes Rules, 2004. The Committee should have met at least once in the last three months prior to submission of the application. The Committee should have met to discuss and resolve the issues relating to children within the jurisdiction of the local body. The concerned local body should have provided the space for facilitating sittings of the Committee in its premises as and when required.",Goa Village & Municipal Child Committee Grants And Awards Scheme (GVMCCGS),https://www.myscheme.gov.in/schemes/gvmccgs,Village and Municipal Child Committees,Directorate of Women And Child Development,"Child Rights, Municipal, Panchayat, Village, Award, Grant","The scheme provides an annual financial grant of ? 10,000/- towards administrative expenses incurred on organizing the activities of the Committee."
"The application process involves four steps: 1. Qualify in the Biotechnology Eligibility Test (BET), 2. Apply for the DBT-JRF program online, 3. Appear for the interview, and 4. Check the final selection list.",1. Applicant must be an Indian citizen. 2. Applicant must have a master's degree in biotechnology or a related field from a recognized university. 3. Applicant must clear the GAT or NET exam in biotechnology or a related field. 4. Applicant should not be more than 28 years for general and EWS category candidates and 33 years for SC/ST/PH category candidates.,Junior Research Fellowship,https://www.myscheme.gov.in/schemes/jrfbio,Indian nationals pursuing doctoral research in biotechnology and life sciences,Ministry Of Science And Technology,"Biotechnology, Life Sciences, Research, Fellowship, Financial Assistance","The Junior Research Fellowship (JRF) from the Department of Biotechnology (DBT) is a fellowship program that provides financial support to students who are pursuing doctoral research in biotechnology and life sciences. The fellowship amount for the JRF program is ?31,000 per month for the first two years and ?35,000 per month for the remaining three years."
"Offline and Online application process. The applicant has to approach their concerned Gram Panchayat /Municipality / Municipal Corporation office, fill in the application form, attach mandatory documents and submit it to the designated receiving authority.","The applicant should be a resident of the state of Sikkim, from Below Poverty Line (BPL) family, attained the age of 60 years and above, have no source of income, not be a recipient of salary/pension/family pension from Central Government / other State Governments, and have opened a Bank Account under “Pradhan Mantri Jan Dhan Yojana”.",Indira Gandhi National Old Age Pension Scheme - Sikkim,https://www.myscheme.gov.in/schemes/ignoaps-sikkim,Elderly citizens above the age of 60 years belonging to the Below Poverty Line (BPL) category,"Department of Women & Child Welfare, Govt. of Sikkim","Old Age, Pension, Below Poverty Line, Direct Benefit Transfer","A pension is provided to elderly citizens above the age of 60 years belonging to the Below Poverty Line (BPL) category and the beneficiary will receive a monthly pension of ? 1500/-, ? 2000/- & ? 2500/- as per eligibility criteria."
