Application Process,Description & Benefits,URL,Ministries/Departments,Eligibility Criteria,Tags,Scheme Name,Target Beneficiaries
Online application through SUNEETHI- Online Service Application Portal,"The scheme provides financial assistance of ₹5,000/- per person in a year for medical treatment, including surgery, to differently abled persons.",https://www.myscheme.gov.in/schemes/drfdamt,"Department of Social Justice, Government of Kerala","1. The applicant should be a native and resident of Kerala State. 2. The disabled person or who has become handicapped due to an accident is eligible to apply under the scheme for their medical treatment, including surgery. 3. Those differently-abled persons whose annual income does not exceed (₹20,000/- in Rural areas and ₹22,375/- in Urban areas) shall be eligible for financial assistance. 4. Physically handicapped persons shall include the following disabilities/categories: a. Blind b. Deaf and Dumb c. Orthopedically Handicapped d. Mentally Challenged e. Persons in the Below Poverty Line (BPL) category having 40 % disability or more.","BPL, Differently Abled, Distress, Financial Assistance, Handicap, Medical Treatment, PwD",Distress Relief Fund For The Differently Abled (Medical Treatment),Differently Abled persons
"Offline. The applicant needs to contact the Registrar/Principal, fill out the application form, and submit it to the concerned department.","Coaching schemes for students belonging to SC (Scheduled Caste), ST (Scheduled Tribe), OBC (Other Backward Classes) (non-creamy layer), and minority communities are implemented to provide them with equal opportunities and support in pursuing higher education. These schemes aim to bridge the educational gap and enhance the competitiveness of these students.",https://www.myscheme.gov.in/schemes/csmsu,Ministry Of Minority Affairs,"Financial assistance under the scheme is available to such universities and colleges which come within the purview of Section 2(f) and are fit to receive central assistance under Section 12(B) of the UGC Act, 1956. Institutions having a sufficient number of Scheduled Castes, Scheduled Tribes, and Minority Communities students will be considered for financial assistance. General candidates holding BPL Cards (Below Poverty Line) issued by the Central Government /State Government may also be allowed for such coaching classes.","Coaching, Education, Minority, SC, ST, OBC, University",Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities,"Students belonging to SC (Scheduled Caste), ST (Scheduled Tribe), OBC (Other Backward Classes) (non-creamy layer), and minority communities"
Offline,"Umbrella scheme providing 45% subsidy, 45% bank finance, and 10% beneficiaries contribution for the cultivation of fruits like apples, walnut, orange, kiwi, and persimmon.",https://www.myscheme.gov.in/schemes/anby,Government of Arunachal Pradesh,Residents and farmers of Arunachal Pradesh,"Subsidy, Umbrella Scheme, Farmers, Arunachal Pradesh, Horticulture",Atma Nirbhar Bagwani Yojana,Farmers of Arunachal Pradesh
"Online application through official website, Registration, Authentication through OTP, Filling of application form, Submission","Financial assistance to educated unemployed citizens to help them overcome financial difficulties, The amount of self-help allowance will be paid to the eligible applicant at the rate of Rs.1000 per month for a maximum period of two years",https://www.myscheme.gov.in/schemes/mnssby,Government of Bihar,"1. Age group of 20 to 25 years, 2. Unemployed young men/women who are not studying and are looking for employment, 3. Educational qualification is inter (12th) passed from a government-recognized institution located in the state but have not received higher education, 4. Permanent resident of the district of Bihar state, 5. Not received any kind of allowance/scholarship/student credit card/education loan or any kind of assistance from any other source, 6. Not get any type of government or non-government employment (contract/permanent/ temporary), 7. Not self-employed","Financial Assistance, Skilled Youth Program, Social Welfare, Unemployment",Mukhyamantri Nischay Swayam Sahayata Bhatta Yojna,Educated unemployed citizens of Bihar State
"Offline application process. The applicant needs to take a print of the prescribed format of the application form, fill in all the mandatory fields, paste the passport-sized photograph, and attach copies of all the mandatory documents. The application form should be submitted to the concerned authority at the Department of Fisheries or to the official posted at the BDO Office/Sub-Offices of the Department of Fisheries.","Financial assistance is provided to active fishermen whose fishing vessels are damaged or lost due to natural calamities. The benefits include financial assistance for death/disability, loss/damage to fishing canoe, loss/damage to fishing vessel, and loss/damage to fishing nets.",https://www.myscheme.gov.in/schemes/ncrfs,"Department of Fisheries, Government of Goa","The applicant should be a Fisherman, should have been contributing to the Fishermen Corpus Relief Fund, should have a registered non-motorized/motorized canoe and mechanized fishing vessel/trawler with the Department of Fisheries, should not be a defaulter of the department, and the loss or damage should be verified by the competent authority.","Crisis, Disaster, Financial Assistance, Fishermen, Relief",Natural Calamity Relief to Fishermen of State,Active fishermen who contribute to the Fishermen Corpus Relief Fund
"Applications are invited through advertisement and the project proposal should be submitted online. The application process involves endorsement from the Head of Institution, evaluation by referees, and final decision by the expert committee.",The scheme provides financial assistance in the form of grants to facilitate Academia-Industry interaction by undertaking projects in collaboration with an industrial partner which should result in commercializing the product or process or service. The grant amount is ₹40 lakhs excluding overhead cost and industry share (25%) for a period of three years.,https://www.myscheme.gov.in/schemes/ibrs,"Kerala Biotechnology Commission (KBC) under the Kerala State Council for Science, Technology and Environment (KSCSTE)","Applicants should be Scientists and Technologists of R&D Centers/Academic Institutions/Organizations actively involved in biotechnological research with emphasis on areas relating to marine, agriculture, health, and environment. Proposals need to be submitted in active collaboration with an industry in which the industrial partner is willing to share 25% of the Kerala Biotechnology Commission allocated funds additionally.","Biotechnology, Grant, Industry, Research, Scientist, Technologist",Industry Linked Biotechnology Research Scheme (IBRS),Scientists and Technologists of R&D Centers/academic Institutions/Organizations actively involved in biotechnological research
"Offline application process. The interested applicant should take print of the prescribed format of the application form, fill in all the mandatory fields, paste the passport-sized photograph, and attach copies of all the mandatory documents. Submit the duly filled and signed application form along with the documents to the concerned authority at the Department of Fisheries or its designated offices.","Financial assistance amounting to ₹50% is provided by the Government to eligible fishermen for the Purchase of Lifejackets and Lifebuoys. The support is extended up to ₹1,000/- per lifejacket and ₹1,500/- per lifebuoy.",https://www.myscheme.gov.in/schemes/fapllf,"Department of Fisheries, Government of Goa","The applicant should be a traditional fisherman by birth or profession, a resident of Goa, and possess one of the following: a Canoe Fitted With OBM; Mechanised Trawlers Engaged in Trawling or Purse Seining Operations.","Fishermen, Lifejackets, Lifebuoys, Financial Assistance, Goa",Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen,"Traditional fishermen by birth or profession, residents of Goa"
"Offline application process involving certification completion, documentation, submission to Coffee Board Office, review, and verification.",This scheme aims to encourage coffee growers to improve quality for higher returns and improve access to high-value specialty markets through the production of eco-certified coffees.,https://www.myscheme.gov.in/schemes/cdpnerqucsecoc,Ministry of Commerce and Industry,The applicants should be SHGs/collectives of tribal growers who obtain certification of their plantations for various sustainability and quality standards.,"Agriculture, DBT, Farmer, Subsidy",Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification,"SHGs/collectives of tribal growers, small growers"
"Online application through UMANG App or website. Fill basic details, choose the mode of payment of pension, upload photo and click on “Submit”.",A monthly pension of ₹ 200 up to 79 years and ₹ 500 thereafter. The scheme provides social assistance benefits to poor households in the case of old age of the breadwinner.,https://www.myscheme.gov.in/schemes/nsap-ignoaps,Ministry Of Rural Development,"The applicant should be a citizen of India, living Below Poverty Line, and at least 60 years of age.","BPL, Pension, Senior Citizen, Social Welfare",NSAP - Indira Gandhi National Old Age Pension Scheme,Citizens living Below Poverty Line and 60 years or above in age
1. Applicants have to visit the official scholarship portal of the Student Labor Welfare Board. 2. Fill out the entries of the academic scholarship application form online. 3. The applicant will have to authenticate his identity by giving his own and his mother's / father's Aadhaar numbers. 4. Online applications for academic scholarships will have to be made within the time limit. Applications received after the prescribed period will not be considered by the Board and no action will be taken. 5. Upload the required documents. 6. Submit.,"The main objective of the Madhya Pradesh Shram Kalyan Academic Scholarship Scheme is to provide scholarships to the children of labourers to get an education. Through this scheme, scholarships will be provided from the 5th class to a higher level of education.",https://www.myscheme.gov.in/schemes/skscy,Madhya Pradesh State Government,"1. The applicant must be a permanent resident of Madhya Pradesh. 2. The parents of the applicant should be employed in a factory or institution established in Madhya Pradesh under the Labor Welfare Fund Act, 1982. 3. Only 2 children of a family are eligible to get the benefits of this scheme. 4. Children of officers and employees working in institutions with managerial capacity are not eligible to get the benefit of this scheme.","Financial Assistance, Higher Education, Student Finance",Shram Kalyan Shaikshanik Chatravriti Yojana,Children of labourers
Offline application through Block Development Officer (BDO) / Sub Divisional Officer (SDO) / Kolkata Municipal Corporation,"A monthly pension of ₹1,000/- is transferred directly to the individual bank account of the beneficiary",https://www.myscheme.gov.in/schemes/jjoaps,"Tribal Development Department, Government of West Bengal","1. Permanent resident of West Bengal, 2. Belong to Scheduled Tribe (ST) category, 3. Attained the age of 60 years or more, 4. Not a beneficiary under any other Social Security pension scheme, 5. Not a recipient of Government pension or pension from any other organization","Financial Assistance, Pension, Scheduled Tribe, Senior Citizen, Social Welfare",Jai Johar (Old Age Pension) Scheme,Scheduled Tribe (ST) residents of West Bengal of the age of 60 years and above
"Online application through the INSPIRE program portal; three-tier selection process involving evaluation by discipline-based Expert Committees, recommendations of the Apex Level Committee and INSPIRE Faculty Award Council, and final selection by DST","Provides opportunities to 100 persons every year to carry out research in basic and applied science areas for 5 years; grants an attractive fellowship for a duration of 5 years; objective is to encourage young researchers to continue research in areas of S&T, Medicine, Agriculture, Pharmacy, and Veterinary Sciences",https://www.myscheme.gov.in/schemes/inspire-ff,Ministry Of Science And Technology,"Indian citizens and People of Indian origin with PIO status having Ph.D. degrees in science, mathematics, engineering, pharmacy, medicine, and agriculture-related subjects; minimum 60% marks throughout academic profile; upper age limit of 32 years for General Category, 37 years for SC, ST, and Women candidates, and 42 years for persons with benchmark disabilities","Faculty Fellowship, Research, Science, Technology, Medicine, Agriculture, Pharmacy, Veterinary Sciences",Innovation In Science Pursuit For Inspired Research (INSPIRE) - Faculty Fellowship,Young researchers with Ph.D. qualifications in the age group of 27-32 years
"Offline, Submit application form with required documents to the concerned authority",Subsidy for the procurement of fiber-reinforced plastic vallam with nets to increase marine fish production,https://www.myscheme.gov.in/schemes/spfrpcvwnmpcn-faascdmf,"Department of Fisheries and Fishermen Welfare, Government of Puducherry","Belong to fishermen community or professionally engaged in fishing/fish trade occupation, Resided in Puducherry for at least 5 years, Member of Fishermen Co-operative Society, Age between 23 and 60 years, Not a recipient of Old Age Pension, Not employed in Government/Government Undertakings/Fishermen Co-operative Society, No outstanding dues to Department/Fishermen Co-operative Societies","Fisheries, Subsidy, Marine Fisheries, Puducherry",Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets,"Fishermen community, Fish traders, Prospective entrepreneurs"
"The application as per the prescribed format, along with the supporting documents showing the activities of the Child Committee of the Local Body, shall be addressed/submitted directly to: The Director, Directorate of Women And Child Development, Panaji-Goa, 2nd floor, Old Education Building, 18th June Road, Altinho, Panaji, Goa - 403 001.","The scheme provides an annual financial grant of ₹ 10,000/- towards administrative expenses incurred on organizing the activities of the Committee.",https://www.myscheme.gov.in/schemes/gvmccgs,Directorate of Women And Child Development,"The applicant should be the concerned local body i.e. a Panchayat or a Municipal local body. The applicant should have established a Village or Municipal Child Committee as prescribed under Rule 7 of The Goa Children's Homes Rules, 2004. The Committee should have met at least once in the last three months prior to submission of the application. The Committee should have met to discuss and resolve the issues relating to children within the jurisdiction of the local body. The concerned local body should have provided the space for facilitating sittings of the Committee in its premises as and when required.","Child Rights, Municipal, Panchayat, Village, Award, Grant",Goa Village & Municipal Child Committee Grants And Awards Scheme (GVMCCGS),Village and Municipal Child Committees
"The application process involves four steps: 1. Qualify in the Biotechnology Eligibility Test (BET), 2. Apply for the DBT-JRF program online, 3. Appear for the interview, and 4. Check the final selection list.","The Junior Research Fellowship (JRF) from the Department of Biotechnology (DBT) is a fellowship program that provides financial support to students who are pursuing doctoral research in biotechnology and life sciences. The fellowship amount for the JRF program is ₹31,000 per month for the first two years and ₹35,000 per month for the remaining three years.",https://www.myscheme.gov.in/schemes/jrfbio,Ministry Of Science And Technology,1. Applicant must be an Indian citizen. 2. Applicant must have a master's degree in biotechnology or a related field from a recognized university. 3. Applicant must clear the GAT or NET exam in biotechnology or a related field. 4. Applicant should not be more than 28 years for general and EWS category candidates and 33 years for SC/ST/PH category candidates.,"Biotechnology, Life Sciences, Research, Fellowship, Financial Assistance",Junior Research Fellowship,Indian nationals pursuing doctoral research in biotechnology and life sciences
"Offline and Online application process. The applicant has to approach their concerned Gram Panchayat /Municipality / Municipal Corporation office, fill in the application form, attach mandatory documents and submit it to the designated receiving authority.","A pension is provided to elderly citizens above the age of 60 years belonging to the Below Poverty Line (BPL) category and the beneficiary will receive a monthly pension of ₹ 1500/-, ₹ 2000/- & ₹ 2500/- as per eligibility criteria.",https://www.myscheme.gov.in/schemes/ignoaps-sikkim,"Department of Women & Child Welfare, Govt. of Sikkim","The applicant should be a resident of the state of Sikkim, from Below Poverty Line (BPL) family, attained the age of 60 years and above, have no source of income, not be a recipient of salary/pension/family pension from Central Government / other State Governments, and have opened a Bank Account under “Pradhan Mantri Jan Dhan Yojana”.","Old Age, Pension, Below Poverty Line, Direct Benefit Transfer",Indira Gandhi National Old Age Pension Scheme - Sikkim,Elderly citizens above the age of 60 years belonging to the Below Poverty Line (BPL) category
